country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","24-11-2025 19:00:00",28.623763,77.287209,CO,69,159,90
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","24-11-2025 19:00:00",28.674045,77.131023,PM10,181,449,362
India,Delhi,Delhi,"Mundka, Delhi - DPCC","24-11-2025 19:00:00",28.684678,77.076574,CO,57,108,75
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","24-11-2025 19:00:00",28.60909,77.0325413,NH3,8,22,13
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","24-11-2025 19:00:00",28.60909,77.0325413,CO,26,56,36
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-11-2025 19:00:00",28.570173,76.933762,NH3,8,9,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-11-2025 19:00:00",28.822836,77.101981,NH3,17,21,19
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-11-2025 19:00:00",28.822836,77.101981,CO,6,94,38
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-11-2025 19:00:00",28.822836,77.101981,OZONE,5,148,99
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","24-11-2025 19:00:00",28.5504249,77.2159377,PM2.5,284,431,374
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","24-11-2025 19:00:00",28.5504249,77.2159377,SO2,18,30,25
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.710508,77.249485,NO2,27,122,59
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-11-2025 19:00:00",28.531346,77.190156,PM10,143,298,210
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-11-2025 19:00:00",28.531346,77.190156,NH3,5,7,6
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","24-11-2025 19:00:00",28.580280,77.233829,OZONE,2,257,140
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","24-11-2025 19:00:00",28.5918245,77.2273074,PM10,178,414,278
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","24-11-2025 19:00:00",28.636429,77.201067,CO,65,112,75
India,Delhi,Delhi,"Mundka, Delhi - DPCC","24-11-2025 19:00:00",28.684678,77.076574,NO2,72,150,107
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","24-11-2025 19:00:00",28.674045,77.131023,SO2,4,111,73
India,Delhi,Delhi,"Pusa, Delhi - DPCC","24-11-2025 19:00:00",28.639652,77.146275,NH3,2,8,6
India,Delhi,Delhi,"Pusa, Delhi - IMD","24-11-2025 19:00:00",28.636110,77.173332,CO,56,149,80
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","24-11-2025 19:00:00",28.563262,77.186937,SO2,2,17,11
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","24-11-2025 19:00:00",28.563262,77.186937,CO,16,122,65
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","24-11-2025 19:00:00",21.613267,73.010555,PM10,109,203,153
